#,nombre,fase,color_2_prueba,altura_m,peso_kg,mega,forma_regional,metodo,mejor_stat,detalle_pokeapi
1,Bulbasaur,FASE 1,ninguno,0.7,6.9,su evolución,no,NINGUNO,At. Esp. + Def. Esp.,
2,Ivysaur,FASE 2,ninguno,1.0,13.0,su evolución,no,NIVEL,At. Esp. + Def. Esp.,level-up version_group=red-blue min_level=16
3,Venusaur,FASE 3,Rosa,2.0,100.0,sí,no,NIVEL,At. Esp. + Def. Esp.,level-up version_group=red-blue min_level=32
4,Charmander,FASE 1,Amarillo,0.6,8.5,su evolución,no,NINGUNO,Velocidad,
5,Charmeleon,FASE 2,Blanco,1.1,19.0,su evolución,no,NIVEL,At. Esp. + Velocidad,level-up version_group=red-blue min_level=16
6,Charizard,FASE 3,Azul,1.7,90.5,sí,no,NIVEL,At. Esp.,level-up version_group=red-blue min_level=36
7,Squirtle,FASE 1,Rojo,0.5,9.0,su evolución,no,NINGUNO,Defensa,
8,Wartortle,FASE 2,Blanco,1.0,22.5,su evolución,no,NIVEL,Defensa + Def. Esp.,level-up version_group=red-blue min_level=16
9,Blastoise,FASE 3,Amarillo,1.6,85.5,sí,no,NIVEL,Def. Esp.,level-up version_group=red-blue min_level=36
10,Caterpie,FASE 1,Amarillo,0.3,2.9,no,no,NINGUNO,PS + Velocidad,
11,Metapod,FASE 2,ninguno,0.7,9.9,no,no,NIVEL,Defensa,level-up version_group=red-blue min_level=7
12,Butterfree,FASE 3,Azul,1.1,32.0,no,no,NIVEL,At. Esp.,level-up version_group=red-blue min_level=10
13,Weedle,FASE 1,Rojo,0.3,3.2,su evolución,no,NINGUNO,Velocidad,
14,Kakuna,FASE 2,Marrón,0.6,10.0,su evolución,no,NIVEL,Defensa,level-up version_group=red-blue min_level=7
15,Beedrill,FASE 3,Blanco,1.0,29.5,sí,no,NIVEL,Ataque,level-up version_group=red-blue min_level=10
16,Pidgey,FASE 1,Amarillo,0.3,1.8,su evolución,no,NINGUNO,Velocidad,
17,Pidgeotto,FASE 2,Amarillo,1.1,30.0,su evolución,no,NIVEL,Velocidad,level-up version_group=red-blue min_level=18
18,Pidgeot,FASE 3,Rojo,1.5,39.5,sí,no,NIVEL,Velocidad,level-up version_group=red-blue min_level=36
19,Rattata,FASE 1,Rosa,0.3,3.5,no,Alola,NINGUNO,Velocidad,
20,Raticate,FASE 2,Amarillo,0.7,18.5,no,Alola,NIVEL,Velocidad,level-up version_group=red-blue min_level=20
21,Spearow,FASE 1,Rojo,0.3,2.0,no,no,NINGUNO,Velocidad,
22,Fearow,FASE 2,Rojo,1.2,38.0,no,no,NIVEL,Velocidad,level-up version_group=red-blue min_level=20
23,Ekans,FASE 1,Rosa,2.0,6.9,no,no,NINGUNO,Ataque,
24,Arbok,FASE 2,ninguno,3.5,65.0,no,no,NIVEL,Ataque,level-up version_group=red-blue min_level=22
25,Pikachu,FASE 2,ninguno,0.4,6.0,su evolución,no,AMISTAD,Velocidad,level-up version_group=gold-silver min_happiness=220
26,Raichu,FASE 3,Rojo,0.8,30.0,sí,Alola,PIEDRA,Velocidad,use-item version_group=red-blue item=thunder-stone required_pokemon_form=pikachu
27,Sandshrew,FASE 1,Blanco,0.6,12.0,no,Alola,NINGUNO,Defensa,
28,Sandslash,FASE 2,Marrón,1.0,29.5,no,Alola,NIVEL,Defensa,level-up version_group=red-blue min_level=22
29,Nidoran♀,FASE 1,ninguno,0.4,7.0,no,no,NINGUNO,PS,
30,Nidorina,FASE 2,ninguno,0.8,20.0,no,no,NIVEL,PS,level-up version_group=red-blue min_level=16
31,Nidoqueen,FASE 3,Amarillo,1.3,60.0,no,no,PIEDRA,Ataque,use-item version_group=red-blue item=moon-stone
32,Nidoran♂,FASE 1,Rosa,0.5,9.0,no,no,NINGUNO,Ataque,
33,Nidorino,FASE 2,ninguno,0.9,19.5,no,no,NIVEL,Ataque,level-up version_group=red-blue min_level=16
34,Nidoking,FASE 3,Rosa,1.4,62.0,no,no,PIEDRA,Ataque,use-item version_group=red-blue item=moon-stone
35,Clefairy,FASE 2,Blanco,0.6,7.5,su evolución,no,AMISTAD,PS,level-up version_group=gold-silver min_happiness=160
36,Clefable,FASE 3,Marrón,1.3,40.0,sí,no,PIEDRA,PS + At. Esp.,use-item version_group=red-blue item=moon-stone
37,Vulpix,FASE 1,Rojo,0.6,9.9,no,Alola,NINGUNO,Def. Esp. + Velocidad,
38,Ninetales,FASE 2,Rojo,1.1,19.9,no,Alola,PIEDRA,Def. Esp. + Velocidad,use-item version_group=red-blue item=fire-stone
39,Jigglypuff,FASE 2,ninguno,0.5,5.5,no,no,AMISTAD,PS,level-up version_group=gold-silver min_happiness=160
40,Wigglytuff,FASE 3,Blanco,1.0,12.0,no,no,PIEDRA,PS,use-item version_group=red-blue item=moon-stone
41,Zubat,FASE 1,Azul,0.8,7.5,no,no,NINGUNO,Velocidad,
42,Golbat,FASE 2,Rosa,1.6,55.0,no,no,NIVEL,Velocidad,level-up version_group=red-blue min_level=22
43,Oddish,FASE 1,Verde,0.5,5.4,no,no,NINGUNO,At. Esp.,
44,Gloom,FASE 2,Marrón,0.8,8.6,no,no,NIVEL,At. Esp.,level-up version_group=red-blue min_level=21
45,Vileplume,FASE 3,Rosa,1.2,18.6,no,no,PIEDRA,At. Esp.,use-item version_group=red-blue item=leaf-stone
46,Paras,FASE 1,ninguno,0.3,5.4,no,no,NINGUNO,Ataque,
47,Parasect,FASE 2,ninguno,1.0,29.5,no,no,NIVEL,Ataque,level-up version_group=red-blue min_level=24
48,Venonat,FASE 1,Rojo,1.0,30.0,no,no,NINGUNO,PS,
49,Venomoth,FASE 2,Blanco,1.5,12.5,no,no,NIVEL,At. Esp. + Velocidad,level-up version_group=red-blue min_level=31
50,Diglett,FASE 1,Rojo,0.2,0.8,no,Alola,NINGUNO,Velocidad,
51,Dugtrio,FASE 2,Rojo,0.7,33.3,no,Alola,NIVEL,Velocidad,level-up version_group=red-blue min_level=26
52,Meowth,FASE 1,Rojo,0.4,4.2,no,Alola + Galar,NINGUNO,Velocidad,
53,Persian,FASE 2,ninguno,1.0,32.0,no,Alola,NIVEL,Velocidad,level-up version_group=red-blue min_level=28
